        72,      7100,  2022,  1578,  2379,  2529,   617,  3399,   696,  1565,  4062,  1271,   898,  4075
        73,      7200,  2025,  1566,  2373,  2604,   602,  3350,   752,  1500,  4073,  1340,   843,  4064
        74,      7300,  2029,  1555,  2367,  2678,   589,  3299,   810,  1435,  4081,  1410,   789,  4051
        75,      7400,  2032,  1544,  2360,  2751,   578,  3246,   869,  1372,  4086,  1480,   737,  4034
        76,      7500,  2035,  1534,  2353,  2822,   569,  3192,   929,  1310,  4088,  1552,   688,  4015
        77,      7600,  2038,  1524,  2346,  2893,   563,  3136,   991,  1250,  4087,  1624,   640,  3993
        78,      7700,  2041,  1516,  2338,  2963,   558,  3078,  1055,  1191,  4084,  1697,   593,  3969
        79,      7800,  2044,  1507,  2329,  3031,   556,  3020,  1119,  1133,  4077,  1770,   549,  3941
        80,      7900,  2048,  1500,  2320,  3098,   556,  2959,  1184,  1077,  4067,  1844,   507,  3911
        81,      8000,  2051,  1493,  2310,  3164,   557,  2898,  1251,  1023,  4055,  1918,   468,  3878
        82,      8100,  2054,  1487,  2301,  3228,   561,  2835,  1318,   970,  4040,  1992,   430,  3843
        83,      8200,  2057,  1481,  2290,  3290,   568,  2771,  1386,   919,  4022,  2066,   395,  3805
        84,      8300,  2060,  1476,  2279,  3350,   576,  2706,  1455,   870,  4001,  2140,   362,  3765
        85,      8400,  2063,  1472,  2268,  3409,   586,  2640,  1525,   823,  3977,  2214,   331,  3722
        86,      8500,  2066,  1469,  2257,  3465,   598,  2573,  1595,   777,  3951,  2288,   302,  3677
        87,      8600,  2069,  1466,  2245,  3520,   613,  2506,  1665,   734,  3922,  2361,   276,  3629
        88,      8700,  2072,  1464,  2233,  3573,   629,  2438,  1736,   693,  3890,  2434,   253,  3579
        89,      8800,  2075,  1463,  2220,  3623,   648,  2369,  1807,   655,  3856,  2507,   232,  3527
        90,      8900,  2078,  1463,  2207,  3671,   669,  2300,  1878,   618,  3819,  2578,   213,  3473
        91,      9000,  2080,  1463,  2194,  3717,   691,  2231,  1949,   584,  3779,  2649,   197,  3417
        92,      9100,  2083,  1464,  2181,  3761,   715,  2161,  2020,   552,  3737,  2719,   184,  3359
        93,      9200,  2086,  1466,  2167,  3802,   742,  2092,  2091,   522,  3693,  2789,   173,  3299
        94,      9300,  2088,  1468,  2153,  3840,   770,  2022,  2161,   495,  3646,  2857,   165,  3238
        95,      9400,  2091,  1471,  2139,  3876,   800,  1952,  2231,   471,  3597,  2924,   159,  3174
        96,      9500,  2093,  1475,  2125,  3910,   832,  1882,  2301,   448,  3546,  2990,   156,  3109
        97,      9600,  2095,  1480,  2111,  3941,   865,  1813,  2370,   429,  3493,  3054,   156,  3043
        98,      9700,  2098,  1485,  2096,  3969,   901,  1744,  2438,   412,  3438,  3117,   159,  2975
        99,      9800,  2100,  1491,  2081,  3994,   937,  1675,  2506,   397,  3380,  3178,   164,  2906
       100,      9900,  2102,  1497,  2066,  4017,   976,  1607,  2572,   385,  3321,  3238,   171,  2835
       101,     10000,  2104,  1505,  2051,  4037,  1016,  1540,  2638,   376,  3260,  3296,   181,  2764
       102,     10100,  2106,  1513,  2037,  4054,  1057,  1473,  2702,   370,  3197,  3353,   194,  2691
       103,     10200,  2107,  1522,  2022,  4068,  1100,  1407,  2766,   366,  3133,  3407,   209,  2618
       104,     10300,  2109,  1531,  2006,  4079,  1145,  1342,  2828,   364,  3067,  3460,   227,  2543
       105,     10400,  2111,  1541,  1991,  4088,  1190,  1278,  2889,   366,  3000,  3510,   248,  2468
       106,     10500,  2112,  1551,  1976,  4093,  1237,  1215,  2948,   370,  2931,  3559,   271,  2393
       107,     10600,  2113,  1563,  1961,  4096,  1285,  1154,  3006,   376,  2861,  3605,   296,  2317
       108,     10700,  2115,  1574,  1947,  4095,  1334,  1093,  3063,   386,  2790,  3649,   324,  2240
       109,     10800,  2116,  1587,  1932,  4092,  1384,  1034,  3117,   397,  2718,  3691,   354,  2163
       110,     10900,  2117,  1599,  1917,  4086,  1435,   977,  3170,   412,  2645,  3730,   387,  2087
       111,     11000,  2118,  1613,  1902,  4077,  1487,   921,  3221,   429,  2571,  3768,   422,  2010
       112,     11100,  2118,  1627,  1888,  4065,  1539,   866,  3270,   449,  2496,  3802,   459,  1933
       113,     11200,  2119,  1641,  1874,  4051,  1593,   814,  3318,   471,  2420,  3834,   498,  1856
       114,     11300,  2120,  1656,  1859,  4033,  1647,   763,  3363,   496,  2345,  3864,   540,  1780
       115,     11400,  2120,  1672,  1846,  4013,  1701,   714,  3406,   523,  2268,  3891,   583,  1703
       116,     11500,  2120,  1687,  1832,  3990,  1756,   666,  3447,   552,  2192,  3915,   629,  1628
       117,     11600,  2120,  1704,  1819,  3964,  1812,   621,  3485,   584,  2115,  3937,   677,  1553
       118,     11700,  2120,  1720,  1805,  3935,  1868,   578,  3522,   618,  2038,  3956,   726,  1479
       119,     11800,  2120,  1737,  1792,  3904,  1924,   537,  3556,   655,  1961,  3972,   777,  1405
       120,     11900,  2120,  1754,  1780,  3870,  1980,   498,  3588,   694,  1884,  3986,   830,  1333
